,用户编号, 电影ID, 电影名称, 电影连接, 用户状态, 用户评分,片名,连接,类型,国家,年份,主演,导演,编剧,片长,uid,group3_item_count,group5_item_count,group3_item_group_count
0,0,4271541,The Secret Life of Chaos,http://movie.douban.com/subject/4271541/,想看,None,The Secret Life of Chaos,http://movie.douban.com/subject/4271541/,,英国,2009,Jim Al-Khalili,Nic Stacey,,59分钟,0,1,1,1.0
1,0,6791750,風立ちぬ,http://movie.douban.com/subject/6791750/,想看,None,風立ちぬ,http://movie.douban.com/subject/6791750/,剧情、动画、传记,日本,2013,庵野秀明、泷本美织、西岛秀俊、西村雅彦、史蒂夫·阿尔珀特、风间杜夫、竹下景子、志田未来、国村隼、大竹忍、野村万斋,宫崎骏,宫崎骏,126分钟,0,1,1,1.0
2,0,2028666,Changeling,http://movie.douban.com/subject/2028666/,想看,None,Changeling,http://movie.douban.com/subject/2028666/,剧情、悬疑、惊悚,美国,2008,安吉丽娜·朱莉、盖特林·格里菲斯、米歇尔·冈、约翰·马尔科维奇、科鲁姆·费奥瑞、杰弗里·多诺万、迈克尔·凯利,克林特·伊斯特伍德,J·迈克尔·斯特拉辛斯基,141 分钟,0,1,1,1.0
3,53,4271541,The Secret Life of Chaos,http://movie.douban.com/subject/4271541/,想看,None,The Secret Life of Chaos,http://movie.douban.com/subject/4271541/,,英国,2009,Jim Al-Khalili,Nic Stacey,,59分钟,53,2,2,1.0
4,53,4191644,One Day,http://movie.douban.com/subject/4191644/,想看,None,One Day,http://movie.douban.com/subject/4191644/,剧情、爱情,美国、英国,2011,安妮·海瑟薇、吉姆·斯特吉斯、萝玛拉·嘉瑞、派翠西娅·克拉克森、拉菲·斯波、肯·斯托特、Jodie Whittaker,罗勒·莎菲,大卫·尼克尔森,107分钟,53,2,2,1.0
5,53,6799191,搜索,http://movie.douban.com/subject/6799191/,看过,3,搜索,http://movie.douban.com/subject/6799191/,剧情、悬疑,中国大陆,2012,高圆圆、姚晨、赵又廷、陈红、王学圻、王珞丹、陈燃、张译,陈凯歌,陈凯歌、唐大年,121分钟,53,2,2,1.0
6,53,3732780,第36个故事,http://movie.douban.com/subject/3732780/,看过,3,第36个故事,http://movie.douban.com/subject/3732780/,喜剧、剧情,台湾,2010,桂纶镁、林辰唏、张瀚,萧雅全,萧雅全,82分钟,53,2,2,1.0
7,53,1308575,藍色大門,http://movie.douban.com/subject/1308575/,看过,5,藍色大門,http://movie.douban.com/subject/1308575/,剧情、爱情、同性,台湾、法国,2002,桂纶镁、陈柏霖、梁又琳、明金成、Joanna Chou,易智言,易智言,85分钟,53,2,2,1.0
8,53,10760030,La grande Bellezza,http://movie.douban.com/subject/10760030/,想看,None,La grande Bellezza,http://movie.douban.com/subject/10760030/,剧情,意大利、法国,2013,托尼·瑟维洛、卡洛·维尔多内、萨宾娜·弗瑞丽、Carlo Buccirosso、Iaia Forte、Pamela Villoresi、格拉迪亚·兰芝,保罗·索伦蒂诺,保罗·索伦蒂诺,142分钟,53,2,2,1.0
9,53,21941804,白日焰火,http://movie.douban.com/subject/21941804/,想看,None,白日焰火,http://movie.douban.com/subject/21941804/,爱情、犯罪,中国大陆,2014,廖凡、桂纶镁、王学兵、王景春、余皑磊、倪景阳,刁亦男,刁亦男,106分钟,53,2,2,1.0
